type,s_frontend,s_backend,lf_react,lf_angular,lf_javascript,lf_kotlin,lb_node,lb_dotnet,lb_java,Complexity_value,t_design,t_frontend,t_backend,t_qa
1,2,2,1,0,0,0,1,0,0,3.8,0,12.0,0.0,4.0
1,2,2,1,0,0,0,1,0,0,2.4,0,8.0,0.0,0.0
1,1,1,1,0,0,0,1,0,0,4.2,0,16.0,0.0,0.0
1,1,1,1,0,0,0,1,0,0,1.7,0,6.0,0.0,0.0
1,1,1,1,0,0,0,1,0,0,1.7,0,6.0,0.0,0.0
1,1,1,1,0,0,0,1,0,0,1.7,0,6.0,0.0,0.0
1,1,1,1,0,0,0,1,0,0,8.4,0,16.0,16.0,2.0
1,1,1,1,0,0,0,1,0,0,3.7,0,6.0,8.0,0.0
1,1,1,1,0,0,0,1,0,0,2.7,0,4.0,6.0,0.0
1,1,1,1,0,0,0,1,0,0,8.3,0,12.0,20.0,1.0
1,1,1,1,0,0,0,1,0,0,1.8,0,6.0,0.0,1.0
1,1,1,1,0,0,0,1,0,0,8.2,0,16.0,16.0,0.0
1,1,1,1,0,0,0,1,0,0,1.9,0,6.0,0.0,2.0
1,1,1,1,0,0,0,1,0,0,3.9,0,6.0,8.0,2.0
1,1,1,1,0,0,0,1,0,0,3.9,0,6.0,8.0,2.0
1,1,1,1,0,0,0,1,0,0,5.4,0,12.0,8.0,2.0
1,1,1,1,0,0,0,1,0,0,3.9,0,8.0,6.0,2.0
1,1,1,1,0,0,0,1,0,0,8.6,0,16.0,16.0,4.0
1,1,1,1,0,0,0,1,0,0,7.6,0,12.0,16.0,4.0
1,1,1,1,0,0,0,1,0,0,5.6,0,8.0,12.0,4.0
1,1,1,1,0,0,0,1,0,0,6.6,0,8.0,16.0,4.0
1,1,2,0,1,0,0,0,1,0,6.3,0,16.0,8.0,0.0
1,1,2,0,1,0,0,0,1,0,2.3,0,2.0,6.0,0.0
1,1,2,0,1,0,0,0,1,0,1.3,0,4.0,0.0,0.0
1,1,2,0,1,0,0,0,1,0,1.3,0,2.0,2.0,0.0
1,1,2,0,1,0,0,0,1,0,0.8,0,1.0,1.0,0.0
1,1,2,0,1,0,0,0,1,0,1.8,0,2.0,4.0,0.0
1,1,2,0,1,0,0,0,1,0,2.8,0,6.0,4.0,0.0
1,1,2,0,1,0,0,0,1,0,5.3,0,12.0,8.0,0.0
1,1,2,0,1,0,0,0,1,0,2.3,0,8.0,0.0,0.0
1,1,2,0,1,0,0,0,1,0,2.8,0,6.0,4.0,0.0
1,1,2,0,1,0,0,0,1,0,2.3,0,2.0,6.0,0.0
1,1,2,0,1,0,0,0,1,0,3.3,0,8.0,4.0,0.0
1,1,2,0,1,0,0,0,1,0,4.3,0,10.0,6.0,0.0
1,1,2,0,1,0,0,0,1,0,1.8,0,4.0,2.0,0.0
1,1,2,0,1,0,0,0,1,0,2.3,0,4.0,4.0,0.0
1,1,2,0,1,0,0,0,1,0,2.3,0,6.0,2.0,0.0
1,1,2,0,1,0,0,0,1,0,3.8,0,8.0,6.0,0.0
1,1,2,0,1,0,0,0,1,0,4.3,0,0.0,16.0,0.0
1,1,2,0,1,0,0,0,1,0,3.8,0,0.0,14.0,0.0
1,1,2,0,1,0,0,0,1,0,2.8,0,0.0,10.0,0.0
1,1,2,0,1,0,0,0,1,0,3.3,0,0.0,12.0,0.0
1,1,2,0,1,0,0,0,1,0,2.3,0,0.0,8.0,0.0
1,1,2,0,1,0,0,0,1,0,3.3,0,0.0,12.0,0.0
1,1,2,0,1,0,0,0,1,0,2.8,0,0.0,10.0,0.0
1,1,2,0,1,0,0,0,1,0,2.3,0,0.0,8.0,0.0
1,1,2,0,1,0,0,0,1,0,3.3,0,0.0,12.0,0.0
1,1,2,0,1,0,0,0,1,0,4.3,0,0.0,16.0,0.0
1,1,2,0,1,0,0,0,1,0,3.3,0,0.0,12.0,0.0
1,2,2,0,1,0,0,0,1,0,1.65,0,5.0,0.0,0.0
1,2,2,0,1,0,0,0,1,0,3.525,0,4.5,8.0,0.0
1,2,2,0,1,0,0,0,1,0,1.4,0,4.0,0.0,0.0
1,2,2,0,1,0,0,0,1,0,1.65,0,5.0,0.0,0.0
1,2,2,0,1,0,0,0,1,0,0.9,0,2.0,0.0,0.0
1,2,2,0,1,0,0,0,1,0,3.4,0,12.0,0.0,0.0
1,2,2,0,1,0,0,0,1,0,2.9,0,10.0,0.0,0.0
1,2,2,0,1,0,0,0,1,0,4.4,0,8.0,8.0,0.0
1,2,2,0,1,0,0,0,1,0,3.9,0,6.0,8.0,0.0
1,2,2,0,1,0,0,0,1,0,1.9,0,6.0,0.0,0.0
1,2,2,0,1,0,0,0,1,0,1.9,0,6.0,0.0,0.0
1,2,2,0,1,0,0,0,1,0,1.4,0,4.0,0.0,0.0
1,2,2,0,1,0,0,0,1,0,3.65,0,5.0,8.0,0.0
1,2,2,0,1,0,0,0,1,0,4.4,0,8.0,8.0,0.0
1,2,2,1,0,0,0,1,0,0,9.3,2,16.0,16.0,5.0
1,2,2,1,0,0,0,1,0,0,2.9,1,4.0,4.0,3.0
1,2,2,1,0,0,0,1,0,0,6.2,2,12.0,8.0,4.0
1,2,2,1,0,0,0,1,0,0,5.25,0,8.0,10.0,3.5
1,2,2,1,0,0,0,1,0,0,5.95,1,8.0,12.0,3.5
1,2,2,1,0,0,0,1,0,0,9.1,1,16.0,16.0,5.0
1,2,2,1,0,0,0,1,0,0,4.9,1,8.0,8.0,3.0
1,2,2,1,0,0,0,1,0,0,7.35,1,14.0,12.0,2.5
1,2,2,1,0,0,0,1,0,0,5.8,1,12.0,8.0,2.0
1,2,2,1,0,0,0,1,0,0,7.15,2,12.0,12.0,3.5
1,2,2,1,0,0,0,1,0,0,7.15,2,12.0,12.0,3.5
